16.005,11.097
16.086,12.959
14.981,13.039
11.948,9.935
9.04,9.965
7.911,11.089
4.916,10.119
4.985,11.017
8.918,8.114
11.064,8.004
9.068,11.152
10.031,11.012
9.062,11.062
8.134,11.936
8.905,12.915
11.114,12.112
11.014,13.068
11.098,13.123
10.06,11.96
10.953,12.012
9.909,10.162
10.917,8.11
11.063,6.889
10.045,3.978
8.9,3.905
13.035,2.953
10.925,3.121
12.93,6.943
8.776,7.228
10.052,6.062
11.985,5.016
10.92,3.022
12.018,4.025
11.894,2.893
12.099,1.185
14.175,3.895
14.01,3.953
13.013,4.002
13.066,3.048
13.057,5.968
12.97,4.917
11.956,5.029
10.142,4.839
9.998,5.065
10.875,4.169
8.076,4.102
8.103,3.986
8.066,5.048
9.168,1.286
11.065,2.078
11.804,2.805
12.986,4.115
9.874,1.066
9.971,0.529
8.003,2.977
8.022,1.166
8.11,1.009
6.009,0.558
7.874,1.018
8.042,4.014
8.845,4.851
11.108,2.029
9.794,4.229
13.069,1.966
12.109,1.086
14.006,0.597
12.007,4.028
9.013,3.03
12.042,5.012
9.997,5.015
9.027,6.003
10.034,11.961
12.895,12.951
10.068,7.076
11.031,6.94
12.959,8.954
11.915,10.083
12.065,9.003
12.932,10.931
11.879,11.855
8.964,13.047
7.005,13.029
8.106,12.886
7.055,13.992
10.924,15.055
10.042,15.04
10.032,17.97
6.004,18.983
7.897,17.004
10.164,19.849
9.077,19.791
10.06,19.897
9.854,18.777
9.905,16.034
11.206,17.808
7.707,20.278
7.933,18.064
6.986,16.983
3.022,18.027
1.999,16.049
