16.011,11.089
16.11,12.981
14.964,13.037
11.956,9.941
9.064,9.96
7.876,11.104
4.807,10.202
4.984,11.017
8.872,8.161
11.035,7.969
8.982,11.559
10.064,10.995
9.086,11.111
8.195,11.883
8.792,12.783
11.186,12.229
11.022,13.621
11.312,13.255
10.05,11.966
10.956,12.036
9.747,10.328
10.695,8.353
11.107,6.886
10.097,3.975
8.817,3.762
13.053,2.948
10.864,3.209
12.927,6.921
8.67,7.301
10.031,6.113
11.978,5.049
10.851,3.049
12.026,4.036
11.874,2.89
12.144,1.123
14.253,3.828
14.025,3.959
12.991,3.966
13.097,3.108
13.047,5.955
12.973,4.896
11.962,5.042
10.228,4.779
9.994,5.06
10.792,4.244
8.228,4.173
8.239,4.002
8.153,5.043
9.22,1.255
11.09,2.088
11.644,2.578
12.999,4.57
9.842,0.959
9.978,0.556
8.005,2.999
8.042,1.099
8.155,0.908
6.011,0.549
7.843,0.889
8.079,3.914
8.58,4.519
11.152,1.983
9.929,4.503
13.082,1.933
12.122,1.007
13.997,0.536
11.972,4.065
9.016,3.035
12.054,4.998
9.994,4.995
9.029,6.019
10.054,11.94
12.869,12.927
9.978,7.559
11.076,6.885
12.966,8.957
11.903,10.109
12.1,9.019
12.915,10.907
11.505,11.961
8.941,13.056
7.035,13.051
8.166,12.795
7.097,14.006
10.838,15.105
10.031,15.037
10.062,17.935
6.045,18.921
7.85,16.957
10.325,19.714
9.018,19.451
10.123,19.833
11.231,21.569
9.906,16.051
10.973,17.415
7.637,20.349
7.886,18.127
6.999,16.966
3.03,18.041
1.973,16.043
